Baseline    BERT + last 4 pooling
# Acc of each label:
Label  0 : acc=76.6% | f1=78.3% | total=329 
Label  1 : acc=62.1% | f1=64.1% | total=161 
Label  2 : acc=34.0% | f1=32.0% | total=159 
Label  3 : acc=42.4% | f1=56.3% | total=509 
Label  4 : acc=98.1% | f1=86.3% | total=157 
Label  5 : acc=54.7% | f1=43.5% | total=159 
Label  6 : acc=61.7% | f1=60.4% | total=94  
Label  7 : acc=62.2% | f1=64.5% | total=291 
Label  8 : acc=59.3% | f1=54.1% | total=118 
Label  9 : acc=77.1% | f1=75.0% | total=266 
Label 10 : acc=71.4% | f1=68.3% | total=301 
Label 11 : acc=54.4% | f1=61.5% | total=509 
Label 12 : acc=50.8% | f1=61.7% | total=459 
Label 13 : acc=56.2% | f1=44.9% | total=105 
Label 14 : acc=91.4% | f1=87.3% | total=139 
Label 15 : acc=65.0% | f1=59.4% | total=100 
Label 16 : acc=62.2% | f1=59.3% | total=241 
Label 17 : acc=100.0% | f1=97.9% | total=166
Label 18 : acc=74.5% | f1=75.3% | total=231 
Label 19 : acc=84.4% | f1=79.2% | total=167 
Label 20 : acc=70.2% | f1=65.7% | total=258 
Label 21 : acc=66.4% | f1=68.7% | total=152 
Label 22 : acc=78.2% | f1=76.9% | total=303
Label 23 : acc=79.7% | f1=66.4% | total=123
Label 24 : acc=48.8% | f1=43.7% | total=160
Label 25 : acc=84.3% | f1=78.3% | total=178
Label 26 : acc=65.4% | f1=63.2% | total=263
Label 27 : acc=98.1% | f1=97.6% | total=104
Label 28 : acc=81.2% | f1=68.6% | total=160
Label 29 : acc=82.1% | f1=70.2% | total=106
Label 30 : acc=96.0% | f1=96.0% | total=176
Label 31 : acc=45.6% | f1=54.7% | total=103
On Dev  : macro f1 0.724
On Test : loss 1.778, macro f1 : 0.675 , micro f1 : 0.672

CosineModel
# Acc of each label:
Label  0 : acc=79.6% | f1=77.9% | total=329
Label  1 : acc=57.8% | f1=55.4% | total=161
Label  2 : acc=15.7% | f1=19.5% | total=159
Label  3 : acc=45.2% | f1=57.8% | total=509
Label  4 : acc=84.7% | f1=74.9% | total=157
Label  5 : acc=40.3% | f1=34.2% | total=159
Label  6 : acc=56.4% | f1=60.2% | total=94
Label  7 : acc=55.7% | f1=55.5% | total=291
Label  8 : acc=50.8% | f1=44.9% | total=118
Label  9 : acc=72.9% | f1=71.3% | total=266
Label 10 : acc=61.5% | f1=61.4% | total=301
Label 11 : acc=52.7% | f1=57.6% | total=509
Label 12 : acc=52.7% | f1=60.2% | total=459
Label 13 : acc=49.5% | f1=41.3% | total=105
Label 14 : acc=95.7% | f1=87.2% | total=139
Label 15 : acc=73.0% | f1=59.1% | total=100
Label 16 : acc=35.7% | f1=41.7% | total=241
Label 17 : acc=100.0% | f1=97.1% | total=166
Label 18 : acc=66.7% | f1=63.8% | total=231
Label 19 : acc=84.4% | f1=82.7% | total=167
Label 20 : acc=55.0% | f1=51.5% | total=258
Label 21 : acc=53.3% | f1=54.2% | total=152
Label 22 : acc=75.2% | f1=69.3% | total=303
Label 23 : acc=69.1% | f1=54.5% | total=123
Label 24 : acc=21.2% | f1=24.5% | total=160
Label 25 : acc=83.7% | f1=70.8% | total=178
Label 26 : acc=49.4% | f1=48.6% | total=263
Label 27 : acc=93.3% | f1=95.6% | total=104
Label 28 : acc=79.4% | f1=63.8% | total=160
Label 29 : acc=61.3% | f1=57.5% | total=106
Label 30 : acc=96.0% | f1=96.0% | total=176
Label 31 : acc=28.2% | f1=32.0% | total=103
On Dev  : macro f1 0.670
On Test : loss 2.778, macro f1 : 0.601 , micro f1 : 0.609

CosineModelMSE
# Acc of each label:
Label  0 : acc=76.6% | f1=80.3% | total=329
Label  1 : acc=56.5% | f1=58.3% | total=161
Label  2 : acc=32.7% | f1=32.8% | total=159
Label  3 : acc=48.7% | f1=61.3% | total=509
Label  4 : acc=96.2% | f1=85.3% | total=157
Label  5 : acc=50.9% | f1=43.9% | total=159
Label  6 : acc=60.6% | f1=57.9% | total=94 
Label  7 : acc=63.6% | f1=62.2% | total=291
Label  8 : acc=58.5% | f1=55.4% | total=118
Label  9 : acc=79.7% | f1=75.3% | total=266
Label 10 : acc=62.1% | f1=63.5% | total=301
Label 11 : acc=62.1% | f1=65.3% | total=509
Label 12 : acc=49.2% | f1=61.7% | total=459
Label 13 : acc=54.3% | f1=46.3% | total=105
Label 14 : acc=93.5% | f1=89.7% | total=139
Label 15 : acc=66.0% | f1=60.0% | total=100
Label 16 : acc=61.0% | f1=60.9% | total=241
Label 17 : acc=98.2% | f1=97.6% | total=166
Label 18 : acc=81.8% | f1=76.4% | total=231
Label 19 : acc=85.0% | f1=79.8% | total=167
Label 20 : acc=68.2% | f1=68.9% | total=258
Label 21 : acc=59.2% | f1=62.9% | total=152
Label 22 : acc=83.2% | f1=82.2% | total=303
Label 23 : acc=77.2% | f1=70.9% | total=123
Label 24 : acc=59.4% | f1=49.4% | total=160
Label 25 : acc=79.2% | f1=74.6% | total=178
Label 26 : acc=66.9% | f1=63.2% | total=263
Label 27 : acc=99.0% | f1=96.3% | total=104
Label 28 : acc=82.5% | f1=68.7% | total=160
Label 29 : acc=81.1% | f1=72.6% | total=106
Label 30 : acc=96.6% | f1=95.5% | total=176
Label 31 : acc=51.5% | f1=53.3% | total=103
On Dev  : macro f1 0.698
On Test : loss 0.017, macro f1 : 0.679 , micro f1 : 0.680


CosineModelMSE_2    with alpha=0.4
# Acc of each label:
Label  0 : acc=77.8% | f1=79.6% | total=329
Label  1 : acc=60.2% | f1=60.1% | total=161
Label  2 : acc=30.8% | f1=34.6% | total=159
Label  3 : acc=47.7% | f1=61.3% | total=509
Label  4 : acc=96.8% | f1=87.1% | total=157
Label  5 : acc=53.5% | f1=46.1% | total=159
Label  6 : acc=62.8% | f1=59.9% | total=94 
Label  7 : acc=68.7% | f1=66.4% | total=291
Label  8 : acc=60.2% | f1=59.9% | total=118
Label  9 : acc=75.9% | f1=74.8% | total=266
Label 10 : acc=69.4% | f1=67.5% | total=301
Label 11 : acc=60.1% | f1=65.5% | total=509
Label 12 : acc=56.2% | f1=65.2% | total=459
Label 13 : acc=54.3% | f1=46.2% | total=105
Label 14 : acc=93.5% | f1=89.7% | total=139
Label 15 : acc=80.0% | f1=64.0% | total=100
Label 16 : acc=53.9% | f1=57.1% | total=241
Label 17 : acc=99.4% | f1=98.2% | total=166
Label 18 : acc=81.4% | f1=78.0% | total=231
Label 19 : acc=83.8% | f1=78.7% | total=167
Label 20 : acc=69.4% | f1=69.9% | total=258
Label 21 : acc=66.4% | f1=67.8% | total=152
Label 22 : acc=84.8% | f1=81.2% | total=303
Label 23 : acc=78.9% | f1=68.6% | total=123
Label 24 : acc=55.6% | f1=43.4% | total=160
Label 25 : acc=81.5% | f1=80.6% | total=178
Label 26 : acc=62.0% | f1=61.3% | total=263
Label 27 : acc=99.0% | f1=97.6% | total=104
Label 28 : acc=80.6% | f1=68.6% | total=160
Label 29 : acc=80.2% | f1=73.0% | total=106
Label 30 : acc=96.0% | f1=95.2% | total=176
